INFO 2026-07-11 02:24:50,981 autoreload 13996 22792 Watching for file changes with StatReloader
DEBUG 2026-07-11 02:24:50,984 autoreload 13996 22792 Waiting for apps ready_event.
DEBUG 2026-07-11 02:24:51,082 autoreload 13996 22792 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2026-07-11 02:24:51,328 autoreload 13996 22792 Watching dir C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2026-07-11 02:24:51,330 autoreload 13996 22792 Watching dir C:\projects\NyaySaathi\backend\locale with glob **/*.mo.
DEBUG 2026-07-11 02:24:51,331 autoreload 13996 22792 Watching dir C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2026-07-11 02:24:51,331 autoreload 13996 22792 Watching dir C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2026-07-11 02:24:51,331 autoreload 13996 22792 Watching dir C:\projects\NyaySaathi\backend\api\locale with glob **/*.mo.
DEBUG 2026-07-11 02:24:51,357 utils 13996 33008 (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2026-07-11 02:24:51,359 utils 13996 33008 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2026-07-11 02:24:51,484 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1783716773.400995
DEBUG 2026-07-11 02:24:51,485 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1783716773.3498738
DEBUG 2026-07-11 02:24:51,485 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\psycopg\_wrappers.py first seen with mtime 1780865491.2690365
DEBUG 2026-07-11 02:24:51,486 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\collections\__init__.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,486 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\validators.py first seen with mtime 1783716773.2973275
DEBUG 2026-07-11 02:24:51,486 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1783716773.28375
DEBUG 2026-07-11 02:24:51,486 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1783716771.9929898
DEBUG 2026-07-11 02:24:51,486 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\postgres\fields\utils.py first seen with mtime 1783716772.8481114
DEBUG 2026-07-11 02:24:51,487 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\DLLs\_overlapped.pyd first seen with mtime 1744097256.0
DEBUG 2026-07-11 02:24:51,487 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1783716772.1123326
DEBUG 2026-07-11 02:24:51,487 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\psycopg\_queries.py first seen with mtime 1780865491.2630308
DEBUG 2026-07-11 02:24:51,487 autoreload 13996 22792 File C:\projects\NyaySaathi\backend\api\nlp\faiss_index.py first seen with mtime 1774801530.93479
DEBUG 2026-07-11 02:24:51,488 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1783716771.7152314
DEBUG 2026-07-11 02:24:51,488 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1783716773.3498738
DEBUG 2026-07-11 02:24:51,488 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_subprocess.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,488 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\test\testcases.py first seen with mtime 1783716773.4694047
DEBUG 2026-07-11 02:24:51,489 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\response.py first seen with mtime 1781958276.8452127
DEBUG 2026-07-11 02:24:51,489 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygments\formatter.py first seen with mtime 1782847642.431406
DEBUG 2026-07-11 02:24:51,489 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1783716773.3862576
DEBUG 2026-07-11 02:24:51,489 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\logging\handlers.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,489 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\psycopg\cursor.py first seen with mtime 1780865491.2720356
DEBUG 2026-07-11 02:24:51,489 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\yaml\resolver.py first seen with mtime 1780865381.0415964
DEBUG 2026-07-11 02:24:51,490 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1783716773.392995
DEBUG 2026-07-11 02:24:51,490 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\signal.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,490 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\test\client.py first seen with mtime 1783716773.4667869
DEBUG 2026-07-11 02:24:51,490 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\psycopg_binary\_psycopg.cp312-win_amd64.pyd first seen with mtime 1780865406.3147802
DEBUG 2026-07-11 02:24:51,490 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\unittest\result.py first seen with mtime 1744097214.0
DEBUG 2026-07-11 02:24:51,490 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\abc.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,491 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1783716773.3919952
DEBUG 2026-07-11 02:24:51,491 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1783716773.317866
DEBUG 2026-07-11 02:24:51,491 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\psycopg\types\json.py first seen with mtime 1780865491.2870378
DEBUG 2026-07-11 02:24:51,491 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1780865380.058432
DEBUG 2026-07-11 02:24:51,491 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\charset_normalizer\__init__.py first seen with mtime 1782847682.5574741
DEBUG 2026-07-11 02:24:51,491 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\charset_normalizer\cd.py first seen with mtime 1782847682.5594738
DEBUG 2026-07-11 02:24:51,491 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1783716773.3148663
DEBUG 2026-07-11 02:24:51,492 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\function_base.py first seen with mtime 1782378403.784451
DEBUG 2026-07-11 02:24:51,492 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\connection.py first seen with mtime 1781958276.8442123
DEBUG 2026-07-11 02:24:51,492 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1783716773.4784021
DEBUG 2026-07-11 02:24:51,493 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1783716773.0461192
DEBUG 2026-07-11 02:24:51,493 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1783716773.455357
DEBUG 2026-07-11 02:24:51,493 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\tempfile.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,493 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\DLLs\_uuid.pyd first seen with mtime 1744097256.0
DEBUG 2026-07-11 02:24:51,493 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1783716773.3862576
DEBUG 2026-07-11 02:24:51,493 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygments\modeline.py first seen with mtime 1782847642.4348967
DEBUG 2026-07-11 02:24:51,494 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\psycopg\types\none.py first seen with mtime 1780865491.2882366
DEBUG 2026-07-11 02:24:51,494 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\email\base64mime.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,494 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\apps\__init__.py first seen with mtime 1783716771.5298693
DEBUG 2026-07-11 02:24:51,494 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1783716773.461787
